sample_id,Genus,Abundance,CT,p_kw,p_kw_fdr
SRR13162838,13-2-20CM-66-19,0.009775562,3,0.022961545785436143,0.022961545785436143
SRR13162838,Acidiphilium,0.001221491,3,0.022961545785436143,0.022961545785436143
SRR13162838,Actinoplanes,0.008127053,3,0.022961545785436143,0.022961545785436143
SRR13162838,Bradyrhizobium,0.011761324,3,0.022961545785436143,0.022961545785436143
SRR13162838,JABEUN01,6.31719e-4,3,0.022961545785436143,0.022961545785436143
SRR13162838,JAJZBZ01,0.001808746,3,0.022961545785436143,0.022961545785436143
SRR13162838,JAKAAZ01,0.001759528,3,0.022961545785436143,0.022961545785436143
SRR13162838,JAMDCX01,0.001574963,3,0.022961545785436143,0.022961545785436143
SRR13162838,Streptomyces,0.025938504,3,0.022961545785436143,0.022961545785436143
SRR13162838,Thiomonas,0.016180559,3,0.022961545785436143,0.022961545785436143
SRR13162838,UBA4572,0.002237442,3,0.022961545785436143,0.022961545785436143
SRR13164998,13-2-20CM-66-19,0.091396578,1,0.022961545785436143,0.022961545785436143
SRR13164998,Acidiphilium,0.01058699,1,0.022961545785436143,0.022961545785436143
SRR13164998,Actinoplanes,0.00397586,1,0.022961545785436143,0.022961545785436143
SRR13164998,Bradyrhizobium,6.01429e-4,1,0.022961545785436143,0.022961545785436143
SRR13164998,JABEUN01,0.007097783,1,0.022961545785436143,0.022961545785436143
SRR13164998,JAJZBZ01,0.007403088,1,0.022961545785436143,0.022961545785436143
SRR13164998,JAKAAZ01,0.057741794,1,0.022961545785436143,0.022961545785436143
SRR13164998,JAMDCX01,0.027176795,1,0.022961545785436143,0.022961545785436143
SRR13164998,Streptomyces,0.008089452,1,0.022961545785436143,0.022961545785436143
SRR13164998,Thiomonas,0.026180534,1,0.022961545785436143,0.022961545785436143
SRR13164998,UBA4572,0.014241476,1,0.022961545785436143,0.022961545785436143
SRR13170410,13-2-20CM-66-19,0.033019305,1,0.022961545785436143,0.022961545785436143
SRR13170410,Acidiphilium,0.005247642,1,0.022961545785436143,0.022961545785436143
SRR13170410,Actinoplanes,0.005373345,1,0.022961545785436143,0.022961545785436143
SRR13170410,Bradyrhizobium,0.001412129,1,0.022961545785436143,0.022961545785436143
SRR13170410,JABEUN01,0.007647886,1,0.022961545785436143,0.022961545785436143
SRR13170410,JAJZBZ01,0.00373545,1,0.022961545785436143,0.022961545785436143
SRR13170410,JAKAAZ01,0.014574698,1,0.022961545785436143,0.022961545785436143
SRR13170410,JAMDCX01,0.012947435,1,0.022961545785436143,0.022961545785436143
SRR13170410,Streptomyces,0.016746049,1,0.022961545785436143,0.022961545785436143
SRR13170410,Thiomonas,0.009452134,1,0.022961545785436143,0.022961545785436143
SRR13170410,UBA4572,0.011679771,1,0.022961545785436143,0.022961545785436143
SRR13170411,13-2-20CM-66-19,0.020948198,2,0.022961545785436143,0.022961545785436143
SRR13170411,Acidiphilium,0.004334458,2,0.022961545785436143,0.022961545785436143
SRR13170411,Actinoplanes,0.005801603,2,0.022961545785436143,0.022961545785436143
